FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
09122021;10;22.60;67.00;1020.10;70;26;PUNTA INDIO B.A.
09122021;6;18.30;76.00;1014.20;110;4;RAFAELA AERO
09122021;9;24.40;57.00;1015.30;50;22;RAFAELA AERO
09122021;0;26.20;65.00;1013.90;90;11;RECONQUISTA AERO
09122021;1;26.50;59.00;1013.30;90;11;RECONQUISTA AERO
09122021;0;24.50;68.00;1013.00;70;9;RESISTENCIA AERO
09122021;1;23.70;71.00;1012.60;70;9;RESISTENCIA AERO
09122021;9;13.40;88.00;1022.10;180;4;RIO COLORADO
09122021;15;21.40;62.00;1018.10;90;4;RIO COLORADO
09122021;6;18.20;94.00;1016.50;140;4;RIO CUARTO AERO
09122021;7;18.40;94.00;1016.40;140;7;RIO CUARTO AERO
09122021;0;12.20;62.00;1013.10;360;46;RIO GALLEGOS AERO
09122021;1;12.40;62.00;1012.60;360;39;RIO GALLEGOS AERO
09122021;0;9.20;89.00;1015.60;340;37;RIO GRANDE B.A.
09122021;1;9.60;85.00;1014.50;340;31;RIO GRANDE B.A.
09122021;9;29.20;43.00;1009.50;90;4;RIVADAVIA
09122021;15;38.00;23.00;1009.50;90;4;RIVADAVIA
09122021;0;21.90;55.00;1015.60;90;13;ROSARIO AERO
09122021;1;21.60;63.00;1015.40;0;0;ROSARIO AERO
09122021;0;21.40;85.00;1524.00;180;6;SALTA AERO
09122021;1;21.20;86.00;1523.00;230;6;SALTA AERO
09122021;9;13.30;67.00;1024.10;200;22;SAN ANTONIO OESTE AERO
09122021;10;14.10;67.00;1023.80;250;13;SAN ANTONIO OESTE AERO
09122021;9;14.00;98.00;1531.00;180;4;SAN CARLOS (MZA)
09122021;15;19.70;79.00;1545.00;90;9;SAN CARLOS (MZA)
09122021;0;22.80;84.00;1017.40;100;15;SAN FERNANDO AERO
09122021;1;22.60;78.00;1017.00;40;17;SAN FERNANDO AERO
